audio_onset,audio_offset,audio_path,video_path,video_index,p0_x,p0_y,p1_x,p1_y
382048,384719,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,92,,,,
3569232,3572127,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,856,,,,
4007168,4012207,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,962,,,,
4240688,4243919,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1018,,,,
4372896,4391039,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1051,202.0,220.0,99.0,137.0
4397328,4406735,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1056,165.0,158.0,246.0,289.0
4514736,4527327,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1085,271.0,213.0,262.0,403.0
4533360,4541663,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1089,322.0,245.0,253.0,423.0
5004624,5007455,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1201,,,,
5513424,5519135,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1323,613.0,402.0,634.0,363.0
6759888,6769183,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1623,,,,
6939024,6943071,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,1665,,,,
8512752,8516047,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2043,,,,
9387872,9390671,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2253,,,,
9481200,9486111,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2276,,,,
9498944,9502367,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2280,,,,
9651872,9656143,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2316,,,,
9683616,9695471,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2325,,,,
9846400,9851647,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2363,262.0,359.0,278.0,312.0
9951712,9958031,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2389,215.0,292.0,337.0,189.0
10072912,10078751,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2418,282.0,167.0,157.0,338.0
10212384,10216671,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/mic_2023_06_06_14_37_53_009062.h5,/mnt/home/rpeterson/ceph/ssl/new_dyads/2023_06_06_14_37_53_009062_female-female-dyad/2023_06_06_14_37_53_009062_cam_d.avi,2451,,,,
